cell_id,cell_cycle_state,new_cell_cycle_state,checked,corrected
SA928-A73044A-R07-C03,G1,G1,False,False
SA928-A73044A-R07-C06,G1,G1,False,False
SA928-A73044A-R07-C07,G1,G1,False,False
SA928-A73044A-R07-C09,G1,G1,False,False
SA928-A73044A-R07-C10,G1,G1,False,False
SA928-A73044A-R07-C11,G1,G1,False,False
SA928-A73044A-R07-C12,G1,G1,False,False
SA928-A73044A-R07-C13,G1,G1,False,False
SA928-A73044A-R07-C14,G1,G1,False,False
SA928-A73044A-R07-C16,G1,G1,False,False
SA928-A73044A-R07-C17,G1,G1,False,False
SA928-A73044A-R07-C18,G1,G1,False,False
SA928-A73044A-R07-C19,G1,G1,False,False
SA928-A73044A-R07-C21,G2,G2,False,False
SA928-A73044A-R07-C22,G2,G2,False,False
SA928-A73044A-R07-C24,G2,G2,False,False
SA928-A73044A-R07-C25,G2,G2,False,False
SA928-A73044A-R07-C26,G2,G2,False,False
SA928-A73044A-R07-C27,G2,G2,False,False
SA928-A73044A-R07-C29,G2,G2,False,False
SA928-A73044A-R07-C30,G2,G2,False,False
SA928-A73044A-R07-C32,G2,G2,False,False
SA928-A73044A-R07-C33,G2,G2,False,False
SA928-A73044A-R07-C35,G2,G2,False,False
SA928-A73044A-R07-C37,G1,G1,False,False
SA928-A73044A-R07-C40,S,S,True,False
SA928-A73044A-R07-C41,S,S,True,False
SA928-A73044A-R07-C42,S,S,True,False
SA928-A73044A-R07-C48,S,S,True,False
SA928-A73044A-R07-C50,S,S,True,False
SA928-A73044A-R07-C52,S,S,True,False
SA928-A73044A-R08-C03,G1,G1,False,False
SA928-A73044A-R08-C07,G1,G1,False,False
SA928-A73044A-R08-C09,G1,G1,False,False
SA928-A73044A-R08-C11,G1,G1,False,False
SA928-A73044A-R08-C12,G1,G1,False,False
SA928-A73044A-R08-C16,G1,G1,False,False
SA928-A73044A-R08-C17,G1,G1,False,False
SA928-A73044A-R08-C18,G1,G1,False,False
SA928-A73044A-R08-C19,G1,G1,False,False
SA928-A73044A-R08-C21,G2,G2,False,False
SA928-A73044A-R08-C22,G2,S,True,True
SA928-A73044A-R08-C24,G2,S,True,True
SA928-A73044A-R08-C25,G2,G2,False,False
SA928-A73044A-R08-C32,G2,G2,False,False
SA928-A73044A-R08-C34,G2,G2,False,False
SA928-A73044A-R08-C35,G2,G2,False,False
SA928-A73044A-R08-C37,G1,G1,False,False
SA928-A73044A-R08-C40,S,S,True,False
SA928-A73044A-R08-C43,S,S,True,False
SA928-A73044A-R08-C44,S,S,True,False
SA928-A73044A-R08-C48,S,S,True,False
SA928-A73044A-R08-C49,S,S,True,False
SA928-A73044A-R08-C50,S,S,True,False
SA928-A73044A-R08-C51,S,S,True,False
SA928-A73044A-R08-C52,S,S,True,False
SA928-A73044A-R09-C03,G1,G1,False,False
SA928-A73044A-R09-C05,G1,G1,False,False
SA928-A73044A-R09-C06,G1,G1,False,False
SA928-A73044A-R09-C07,G1,G1,False,False
SA928-A73044A-R09-C08,G1,G1,False,False
SA928-A73044A-R09-C10,G1,G1,False,False
SA928-A73044A-R09-C14,G1,G1,False,False
SA928-A73044A-R09-C16,G1,G1,False,False
SA928-A73044A-R09-C17,G1,G1,False,False
SA928-A73044A-R09-C18,G1,G1,False,False
SA928-A73044A-R09-C19,G1,G1,False,False
SA928-A73044A-R09-C25,G2,G2,False,False
SA928-A73044A-R09-C26,G2,G2,False,False
SA928-A73044A-R09-C30,G2,G2,False,False
SA928-A73044A-R09-C32,G2,G2,False,False
SA928-A73044A-R09-C33,G2,G2,False,False
SA928-A73044A-R09-C34,G2,G2,False,False
SA928-A73044A-R09-C40,S,S,True,False
SA928-A73044A-R09-C41,S,S,True,False
SA928-A73044A-R09-C42,S,S,True,False
SA928-A73044A-R09-C48,S,S,True,False
SA928-A73044A-R09-C49,S,S,True,False
SA928-A73044A-R09-C50,S,S,True,False
SA928-A73044A-R09-C51,S,S,True,False
SA928-A73044A-R10-C03,G1,G1,False,False
SA928-A73044A-R10-C06,G1,G1,False,False
SA928-A73044A-R10-C07,G1,G1,False,False
SA928-A73044A-R10-C08,G1,G1,False,False
SA928-A73044A-R10-C10,G1,G1,False,False
SA928-A73044A-R10-C12,G1,G1,False,False
SA928-A73044A-R10-C13,G1,G1,False,False
SA928-A73044A-R10-C16,G1,G1,False,False
SA928-A73044A-R10-C17,G1,G1,False,False
SA928-A73044A-R10-C19,G1,G1,False,False
SA928-A73044A-R10-C21,G2,G2,False,False
SA928-A73044A-R10-C22,G2,G2,False,False
SA928-A73044A-R10-C24,G2,G2,False,False
SA928-A73044A-R10-C25,G2,G2,False,False
SA928-A73044A-R10-C26,G2,G2,False,False
SA928-A73044A-R10-C27,G2,G2,False,False
SA928-A73044A-R10-C28,G2,G2,False,False
SA928-A73044A-R10-C29,G2,G2,False,False
SA928-A73044A-R10-C30,G2,G2,False,False
SA928-A73044A-R10-C35,G2,G2,False,False
SA928-A73044A-R10-C37,G1,G1,False,False
SA928-A73044A-R10-C40,S,S,True,False
SA928-A73044A-R10-C42,S,S,False,False
SA928-A73044A-R10-C43,S,S,True,False
SA928-A73044A-R10-C44,S,S,True,False
SA928-A73044A-R10-C48,S,S,True,False
SA928-A73044A-R10-C49,S,S,True,False
SA928-A73044A-R10-C50,S,S,True,False
