breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,norm_bk,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,slope_G1b,slope_S4,slope_ratio,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R07-C03,-0.015410808826161306,-0.4040781672301791,-0.38108930543641656,-0.3961000240414473,-0.3977290835410637,0.075476628497,0.080794,A73044A,246.573835,215.0,0.006576468573385854,0.0,281388,1651353,0.171965679692,1.9191105381888496,0.2540265238330382,-0.2714181704564906,-0.15000848066783914,-0.25872849590444835,106.45593408485212,0.009371104854878421,0.011723114618649109,2.0005814719313446,1.9150412038076354,38.76490808619805,97.78580840417679,3.352691709834227,137.389818,574210,3339364,2668545,3643162,training,303798,11434,36658
1.0,G1,SA928-A73044A-R07-C06,0.15689593727254783,-0.39164014427785715,-0.3371346404016941,-0.35785929358949337,-0.3053584524042717,0.08243389281119999,0.087177,A73044A,229.081193,200.0,0.006576468573385854,0.0,268455,1796366,0.151238423457,1.9191105381888496,1.5330151320321088e-31,-0.22718546839568135,-0.17295673225003563,-0.2511597496821092,85.76736972033656,0.008977076904548154,0.010054194107719067,1.591928744864968,1.6464976970004468,40.649538147071496,106.51112651029865,4.277029307106046,125.00276,550072,3637529,2816427,4019994,training,382465,13162,44796
1.0,G1,SA928-A73044A-R07-C07,0.165240553956381,-0.44266025847606977,-0.39184583531167483,-0.41441800619836366,-0.30460040046221326,0.09527518601,0.101271,A73044A,220.669928,193.0,0.006576468573385854,0.0,291162,2096766,0.14087281090700002,1.9191105381888496,7.595105265940936e-35,-0.26993868507048197,-0.2302407844937118,-0.30091544602874,88.51648869924726,0.010803978996329138,0.010275546763690415,1.442297872806887,1.6821087017799246,48.022074209066474,118.35227813561697,5.654334506727744,118.379094,598614,4249650,3243156,4696348,training,446698,16290,56117
1.0,G1,SA928-A73044A-R07-C09,0.0672454299469814,-0.38004378884609535,-0.34737128189462807,-0.36515724758730417,-0.3162073284124162,0.083948669893,0.088438,A73044A,227.618934,199.0,0.006576468573385854,0.0,314812,1862730,0.170785480908,1.9191105381888496,6.277334923821875e-07,-0.25247663998280534,-0.19697909275564157,-0.2764555466141846,94.616212613509,0.009670633732825366,0.01076086398550588,1.6845287611202597,1.7602093759142277,39.830826778059375,106.29417189997596,4.087199458774365,123.604572,643826,3770098,2915393,4159862,training,389764,14202,44638
1.0,G1,SA928-A73044A-R07-C10,-0.05108507944689219,-0.3589884120991619,-0.3493878932215516,-0.3618853083649549,-0.36123963036503565,0.0480831637549,0.050009,A73044A,245.802374,214.0,0.006576468573385854,0.0,161087,1012476,0.16054899473,1.9191105381888496,0.00015477275536260627,-0.2656364356568168,-0.1858897364899646,-0.26968220561919043,112.05623953938932,0.00601351055159331,0.01220991666902078,2.083434053521558,1.9936246451476562,34.415375369424105,98.36824415924468,2.8713058052747633,136.35466100000002,328971,2049200,1640200,2273600,training,224400,6797,24248
1.0,G1,SA928-A73044A-R07-C11,0.01572400426900104,-0.29641999696199917,-0.2785598325865824,-0.2912369506006177,-0.27571089717496433,0.06623130679280001,0.06931799999999999,A73044A,236.589557,206.0,0.006576468573385854,0.0,245235,1438635,0.17215817098900002,1.9191105381888496,0.24450198551665128,-0.19805633225364722,-0.1467443698937913,-0.21504012288911017,97.87191647563986,0.007614683784385375,0.011027297232616102,1.8441005185598487,1.8031507879481123,29.20248712949596,94.14939445349472,2.1700345541500607,129.78651399999998,501110,2910952,2291698,3205564,training,294612,10640,33681
1.0,G1,SA928-A73044A-R07-C12,0.09418498398760235,-0.24205924158909647,-0.2155192982013516,-0.2287701493065351,-0.19519529611609066,0.0794360551615,0.083639,A73044A,227.947026,200.0,0.006576468573385854,0.0,299856,1763688,0.171910737848,1.9191105381888496,2.8247742310866493e-12,-0.13961987209166296,-0.09255247009917154,-0.14340165256182136,82.86321788034573,0.008372979562454027,0.009787683602021995,1.549026974427026,1.6033037937236265,24.854337846115563,88.68882164771594,1.308489675693813,123.394913,613868,3571144,2771462,3926404,training,355260,14156,43768
1.0,G1,SA928-A73044A-R07-C13,0.11309558006445565,-0.41120814861693744,-0.3657709133766673,-0.3851531028624961,-0.35385791451446175,0.0879961010606,0.092798,A73044A,232.946795,204.0,0.006576468573385854,0.0,340803,1946452,0.176828854846,1.9191105381888496,4.573613799115471e-17,-0.2614497411127938,-0.19703827019796732,-0.28814612213124496,90.136126452893,0.009791978451779645,0.010414406340543886,1.7177542974575868,1.7045166703320511,43.79142945125921,109.49534429327956,4.827020896936826,126.908348,696256,3937752,3082981,4323782,training,386030,14650,44847
1.0,G1,SA928-A73044A-R07-C14,0.050649406416750704,-0.39977207671285925,-0.3726911028259956,-0.38985794415920133,-0.34636544434753935,0.09402330402899997,0.099449,A73044A,229.251583,200.0,0.006576468573385854,0.0,389007,2125276,0.184897849184,1.9191105381888496,0.00017614694420689287,-0.26409932616964565,-0.21315871325469804,-0.2896832484240023,95.53885876770447,0.010936478379214675,0.01084777785650861,1.720504894986438,1.774272837451872,40.69038974188433,108.1583700979807,4.248430352433389,124.831428,795091,4300553,3331653,4731574,training,431021,17077,50001
1.0,G1,SA928-A73044A-R07-C16,0.1945728085718281,-0.30347871775768137,-0.24608141630976424,-0.26539098832089525,-0.2416891045394951,0.08933968625119999,0.09423,A73044A,236.203861,206.0,0.006576468573385854,0.0,366868,1988150,0.186137206276,1.9191105381888496,6.806387354712578e-48,-0.2025371887795571,-0.11826093447211092,-0.20053508135228856,80.13882227220762,0.009134704058200294,0.009581408452476804,1.6002319010226302,1.5700644598395213,36.308768116433065,96.82666509864508,3.0980769679301563,129.48607900000002,748334,4020648,3160608,4390698,training,370050,14598,44347
