breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,slope,slope0,slope1,slope2,slope3,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R07-C03,-0.015410808826161306,-0.4040781672301791,-0.38108930543641656,-0.3961000240414473,-0.3977290835410637,0.075476628497,0.080794,A73044A,246.573835,215.0,281388,1651353,0.171965679692,1.9191105381888496,0.2540265238330382,-30.830244837510268,-0.009031584863652622,-0.010448556375605818,-1.8131259941778082,-1.749946733636717,137.389818,574210,3339364,2668545,3643162,training,303798,11434,36658
1.0,G1,SA928-A73044A-R07-C06,0.15689593727254783,-0.39164014427785715,-0.3371346404016941,-0.35785929358949337,-0.3053584524042717,0.08243389281119999,0.087177,A73044A,229.081193,200.0,268455,1796366,0.151238423457,1.9191105381888496,1.5330151320321088e-31,19.787557112838652,-0.0065568680350820766,-0.006380928104278318,-0.9386633145631658,-1.0955764928345595,125.00276,550072,3637529,2816427,4019994,training,382465,13162,44796
1.0,G1,SA928-A73044A-R07-C07,0.165240553956381,-0.44266025847606977,-0.39184583531167483,-0.41441800619836366,-0.30460040046221326,0.09527518601,0.101271,A73044A,220.669928,193.0,291162,2096766,0.14087281090700002,1.9191105381888496,7.595105265940936e-35,13.235432096836602,-0.008204206457430847,-0.0069078965280141985,-0.8286843871500722,-1.1803420035014953,118.379094,598614,4249650,3243156,4696348,training,446698,16290,56117
1.0,G1,SA928-A73044A-R07-C09,0.0672454299469814,-0.38004378884609535,-0.34737128189462807,-0.36515724758730417,-0.3162073284124162,0.083948669893,0.088438,A73044A,227.618934,199.0,314812,1862730,0.170785480908,1.9191105381888496,6.277334923821875e-07,-1.4571954875969926,-0.008017559193996186,-0.008070642597350637,-1.187308736202365,-1.367412922314381,123.604572,643826,3770098,2915393,4159862,training,389764,14202,44638
1.0,G1,SA928-A73044A-R07-C10,-0.05108507944689219,-0.3589884120991619,-0.3493878932215516,-0.3618853083649549,-0.36123963036503565,0.0480831637549,0.050009,A73044A,245.802374,214.0,161087,1012476,0.16054899473,1.9191105381888496,0.00015477275536260627,-44.60757021601658,-0.006107563792071053,-0.0116354949007074,-2.0110556573610636,-1.9414641246568,136.35466100000002,328971,2049200,1640200,2273600,training,224400,6797,24248
1.0,G1,SA928-A73044A-R07-C11,0.01572400426900104,-0.29641999696199917,-0.2785598325865824,-0.2912369506006177,-0.27571089717496433,0.06623130679280001,0.06931799999999999,A73044A,236.589557,206.0,245235,1438635,0.17215817098900002,1.9191105381888496,0.24450198551665128,-9.429738245453235,-0.006584979016176527,-0.008719773718375285,-1.439651322086053,-1.4720061074520734,129.78651399999998,501110,2910952,2291698,3205564,training,294612,10640,33681
1.0,G1,SA928-A73044A-R07-C12,0.09418498398760235,-0.24205924158909647,-0.2155192982013516,-0.2287701493065351,-0.19519529611609066,0.0794360551615,0.083639,A73044A,227.947026,200.0,299856,1763688,0.171910737848,1.9191105381888496,2.8247742310866493e-12,27.038787310190497,-0.005731743466825659,-0.005727310649013836,-0.833363161324318,-0.9897228129309151,123.394913,613868,3571144,2771462,3926404,training,355260,14156,43768
1.0,G1,SA928-A73044A-R07-C13,0.11309558006445565,-0.41120814861693744,-0.3657709133766673,-0.3851531028624961,-0.35385791451446175,0.0879961010606,0.092798,A73044A,232.946795,204.0,340803,1946452,0.176828854846,1.9191105381888496,4.573613799115471e-17,9.080538510126393,-0.007723671768648471,-0.007258991971452311,-1.162255971888707,-1.236962756309234,126.908348,696256,3937752,3082981,4323782,training,386030,14650,44847
1.0,G1,SA928-A73044A-R07-C14,0.050649406416750704,-0.39977207671285925,-0.3726911028259956,-0.38985794415920133,-0.34636544434753935,0.09402330402899997,0.099449,A73044A,229.251583,200.0,389007,2125276,0.184897849184,1.9191105381888496,0.00017614694420689287,-3.9692392902525695,-0.009226315697780138,-0.008299475944902206,-1.2496396150481364,-1.4043947365798142,124.831428,795091,4300553,3331653,4731574,training,431021,17077,50001
1.0,G1,SA928-A73044A-R07-C16,0.1945728085718281,-0.30347871775768137,-0.24608141630976424,-0.26539098832089525,-0.2416891045394951,0.08933968625119999,0.09423,A73044A,236.203861,206.0,366868,1988150,0.186137206276,1.9191105381888496,6.806387354712578e-48,33.52774757073755,-0.005948252939340325,-0.005241476382446614,-0.852902364615199,-0.911456383360853,129.48607900000002,748334,4020648,3160608,4390698,training,370050,14598,44347
