breakpoints,cell_cycle_state,cell_id,correlation,correlation0,correlation1,correlation2,correlation3,coverage_breadth,coverage_depth,library_id,mean_insert_size,median_insert_size,norm_bk,num_unique_bk,paired_duplicate_reads,paired_mapped_reads,percent_duplicate_reads,ploidy,pvalue,r_G1b,r_S4,r_ratio,slope,slope0,slope1,slope2,slope3,slope_G1b,slope_S4,slope_ratio,standard_deviation_insert_size,total_duplicate_reads,total_mapped_reads,total_properly_paired,total_reads,training_context,unmapped_reads,unpaired_duplicate_reads,unpaired_mapped_reads
1.0,G1,SA928-A73044A-R07-C03,-0.015410808826161306,-0.4044131415611767,-0.4121348855800417,-0.4062984156002268,-0.4268524746791613,0.075476628497,0.080794,A73044A,246.573835,215.0,0.006576468573385854,0.0,281388,1651353,0.171965679692,1.9191105381888496,0.2540265238330382,-0.28570631393661144,-0.16569858854157563,-0.278235512327439,-30.830244837510268,-0.010258477268729374,-0.011878155671051242,-1.8475692198721114,-1.7521960139784052,-3142.942474862749,-2503.585664731476,-498.68188935619133,137.389818,574210,3339364,2668545,3643162,training,303798,11434,36658
1.0,G1,SA928-A73044A-R07-C06,0.15689593727254783,-0.39310972264183297,-0.3805986789435554,-0.37275914147395267,-0.31581232960622685,0.08243389281119999,0.087177,A73044A,229.081193,200.0,0.006576468573385854,0.0,268455,1796366,0.151238423457,1.9191105381888496,1.5330151320321088e-31,-0.24731998866906926,-0.19339597095158984,-0.2771271060470971,19.787557112838652,-0.0074984686805887575,-0.007646250945297058,-0.8969592096937961,-1.120550943576001,-3509.065809452386,-3768.8319275215417,-640.6277454516365,125.00276,550072,3637529,2816427,4019994,training,382465,13162,44796
1.0,G1,SA928-A73044A-R07-C07,0.165240553956381,-0.4438955053091526,-0.43888930449533164,-0.4302081014148986,-0.34376433788480115,0.09527518601,0.101271,A73044A,220.669928,193.0,0.006576468573385854,0.0,291162,2096766,0.14087281090700002,1.9191105381888496,7.595105265940936e-35,-0.29038148846723383,-0.25104166865293104,-0.32760189932924944,13.235432096836602,-0.009371311327118395,-0.008193930866119211,-0.9129705402958707,-1.2023197637935104,-4452.586056293363,-5287.0846144910765,-818.4351027726046,118.379094,598614,4249650,3243156,4696348,training,446698,16290,56117
1.0,G1,SA928-A73044A-R07-C09,0.0672454299469814,-0.3807162650929091,-0.3840306739882467,-0.37743728806832505,-0.32657985797080263,0.083948669893,0.088438,A73044A,227.618934,199.0,0.006576468573385854,0.0,314812,1862730,0.170785480908,1.9191105381888496,6.277334923821875e-07,-0.26935739526125596,-0.21444169195645815,-0.29857768082907354,-1.4571954875969926,-0.00913971298006668,-0.009405087067776905,-1.1382789849883987,-1.3832515445425544,-3322.9141755376254,-3633.51116466914,-600.1253928901122,123.604572,643826,3770098,2915393,4159862,training,389764,14202,44638
1.0,G1,SA928-A73044A-R07-C10,-0.05108507944689219,-0.3600224687463806,-0.37560746638656023,-0.3705566285403037,-0.3825415463892625,0.0480831637549,0.050009,A73044A,245.802374,214.0,0.006576468573385854,0.0,161087,1012476,0.16054899473,1.9191105381888496,0.00015477275536260627,-0.27758792446018227,-0.19895027741778765,-0.28602062018899177,-44.60757021601658,-0.006930175760700868,-0.013121682437328188,-1.9977321511267623,-1.9373656840322273,-2548.96244450885,-2509.1953223533483,-427.9121849090472,136.35466100000002,328971,2049200,1640200,2273600,training,224400,6797,24248
1.0,G1,SA928-A73044A-R07-C11,0.01572400426900104,-0.2974674784000359,-0.3053303405558539,-0.30040915680635777,-0.2810014521530465,0.06623130679280001,0.06931799999999999,A73044A,236.589557,206.0,0.006576468573385854,0.0,245235,1438635,0.17215817098900002,1.9191105381888496,0.24450198551665128,-0.21109218625337492,-0.16016209808211213,-0.23201353604575256,-9.429738245453235,-0.007497709641479512,-0.010081544356144391,-1.3316509789156372,-1.4843899220248657,-1896.68187669803,-1976.5560711106632,-339.64881351670095,129.78651399999998,501110,2910952,2291698,3205564,training,294612,10640,33681
1.0,G1,SA928-A73044A-R07-C12,0.09418498398760235,-0.2433551781299025,-0.24362002045967818,-0.2383637921583681,-0.2018919993885144,0.0794360551615,0.083639,A73044A,227.947026,200.0,0.006576468573385854,0.0,299856,1763688,0.171910737848,1.9191105381888496,2.8247742310866493e-12,-0.15324162307870126,-0.106086637874435,-0.1608181897012499,27.038787310190497,-0.006566455551915669,-0.006956615760967252,-0.799907830800187,-1.0177006305931653,-1353.359583561179,-1286.8389521341007,-231.40144716120312,123.394913,613868,3571144,2771462,3926404,training,355260,14156,43768
1.0,G1,SA928-A73044A-R07-C13,0.11309558006445565,-0.412629704401122,-0.4064266153309978,-0.39892819815463815,-0.36062509082939315,0.0879961010606,0.092798,A73044A,232.946795,204.0,0.006576468573385854,0.0,340803,1946452,0.176828854846,1.9191105381888496,4.573613799115471e-17,-0.28014879476632804,-0.21639405348456758,-0.31254566402262696,9.080538510126393,-0.008814980423255262,-0.008561880229919612,-1.078152526267902,-1.2570943432510011,-3875.0812310857923,-4111.160458529105,-704.3685764568671,126.908348,696256,3937752,3082981,4323782,training,386030,14650,44847
1.0,G1,SA928-A73044A-R07-C14,0.050649406416750704,-0.4007306899160627,-0.40832689533989414,-0.40173474185740043,-0.35491091882981923,0.09402330402899997,0.099449,A73044A,229.251583,200.0,0.006576468573385854,0.0,389007,2125276,0.184897849184,1.9191105381888496,0.00017614694420689287,-0.2804501753920525,-0.23010459659354834,-0.3112010136324315,-3.9692392902525695,-0.010514602625858432,-0.009646478526889598,-1.1828301661054577,-1.4190576205940315,-3424.1487453800332,-3858.773199986029,-619.059441156575,124.831428,795091,4300553,3331653,4731574,training,431021,17077,50001
1.0,G1,SA928-A73044A-R07-C16,0.1945728085718281,-0.3050124575305763,-0.2866984360752204,-0.2790055905835336,-0.24973694152413925,0.08933968625119999,0.09423,A73044A,236.203861,206.0,0.006576468573385854,0.0,366868,1988150,0.186137206276,1.9191105381888496,6.806387354712578e-48,-0.22226607668161968,-0.13827500843923315,-0.22606306925527414,33.52774757073755,-0.006823456516837439,-0.006449390990473655,-0.8033954065733032,-0.9414929807874086,-2949.967454963327,-2520.6630071206887,-488.84153930250824,129.48607900000002,748334,4020648,3160608,4390698,training,370050,14598,44347
